StockName,StockCode,TypeBiz,MainProduct,OriginDate
티와이홀딩스,363280,기타 금융업,지주사업,2020-09-22
코람코에너지리츠,357120,부동산 임대 및 공급업,부동산 투자 및 관리,2020-08-31
제이알글로벌리츠,348950,부동산 임대 및 공급업,벨기에 파이낸스 타워,2020-08-07
미래에셋맵스리츠,357250,부동산 임대 및 공급업,부동산 임대업,2020-08-05
이지스레지던스리츠,350520,부동산 임대 및 공급업,"부동산투자, 취득, 매매, 임대",2020-08-05
이지스밸류플러스리츠,334890,부동산 임대 및 공급업,"부동산투자, 취득, 매매, 임대",2020-07-16
에스케이바이오팜,326030,자연과학 및 공학 연구개발업,신경질환 및 정신질환을 포함한 중추신경 관련 신약 개발,2020-07-02
대덕전자,353200,전자부품 제조업,"PCB(Printed Circuit Board, 인쇄회로기판)의 제조 및 판매",2020-05-21
케이씨씨글라스,344820,유리 및 유리제품 제조업,판유리 등,2020-01-21
NH프라임리츠,338100,부동산 임대 및 공급업,부동산 투자,2019-12-05
센트랄모텍,308170,자동차 신품 부품 제조업,"이너레이스, 오디 클러치보스, 로터샤프트, 슬리브기어, 컨트롤 암, 엑슬",2019-11-25
현대에너지솔루션,322000,반도체 제조업,"태양광 셀·모듈, PV시스템, ESS",2019-11-19
한화시스템,272210,전자부품 제조업,"정밀기기(육해공군관련전자제어시스템,열영상감시장비,탐지추적장치,전투지휘체계시스템) 제조",2019-11-13
자이에스앤디,317400,부동산 임대 및 공급업,"부동산 관리, 정보통신 공사, 아파트 AS 및 옵션 제품 공급, 건축물 시공 및 분양",2019-11-06
롯데리츠,330590,부동산 임대 및 공급업,부동산투자,2019-10-30
지누스,13890,가구 제조업,매트리스 및 가구제품,2019-10-30
두산솔루스,336370,전자부품 제조업,"동박, 유압기기 등",2019-10-18
두산퓨얼셀,336260,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",연료전지,2019-10-18
제이콘텐트리,36420,"영화, 비디오물, 방송프로그램 제작 및 배급업","영화 및 방송프로그램 제작, 유통, 광고",2019-10-18
포스코케미칼,3670,"내화, 비내화 요업제품 제조업","내화물, 생석회, 음극재 및 양극재",2019-05-29
현대오토에버,307950,소프트웨어 개발 및 공급업,"전산실운영, 시스템구축, 전산장비 납품, SOC/건축 사업",2019-03-28
드림텍,192650,전자부품 제조업,"모바일 PBA, 지문인식 모듈, 전장 LED 모듈 등",2019-03-14
더블유게임즈,192080,소프트웨어 개발 및 공급업,온라인 게임,2019-03-12
우리금융지주,316140,기타 금융업,금융지주,2019-02-13
에어부산,298690,항공 여객 운송업,항공 여객 및 화물 운송,2018-12-27
아시아나IDT,267850,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","IT 서비스, IT 솔루션",2018-11-23
세아제강,306200,1차 철강 제조업,강관,2018-10-05
하나제약,293480,의약품 제조업,완제의약품,2018-10-02
우진아이엔에스,10400,건물설비 설치 공사업,반도체/디스플레이 코팅덕트,2018-09-14
신한알파리츠,293940,부동산 임대 및 공급업,비거주 부동산 임대 서비스업,2018-08-08
한일시멘트,300720,"시멘트, 석회, 플라스터 및 그 제품 제조업","시멘트, 레미콘, 레미탈",2018-08-06
티웨이항공,91810,항공 여객 운송업,저가 항공운송,2018-08-01
롯데정보통신,286940,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","SM, SI",2018-07-27
효성중공업,298040,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",-,2018-07-13
효성첨단소재,298050,화학섬유 제조업,PET타이어코드,2018-07-13
효성티앤씨,298020,화학섬유 제조업,"섬유, 산업자재, 화학, 중공업, 건설, 무역,금융 등",2018-07-13
효성화학,298000,기초 화학물질 제조업,-,2018-07-13
이리츠코크렙,88260,부동산 임대 및 공급업,부동산투자회사,2018-06-27
HDC현대산업개발,294870,건물 건설업,"외주주택, 자체공사, 일반건축, 토목 등",2018-06-12
애경산업,18250,기타 화학제품 제조업,"Age 20's,루나, 트리오, 2080치약, 순샘, 제트 등",2018-03-22
셀트리온,68270,기초 의약물질 및 생물학적 제제 제조업,"램시마, 트룩시마, 허쥬마",2018-02-09
쿠쿠홈시스,284740,개인 및 가정용품 임대업,"정수기, 공기청정기 등",2018-01-11
SK케미칼,285130,합성고무 및 플라스틱 물질 제조업,"PETG 수지, PET 수지, 바이오디젤, 백신",2018-01-05
BGF리테일,282330,종합 소매업,체인화 편의점,2017-12-08
동양피스톤,92780,자동차용 엔진 및 자동차 제조업,자동차엔진용 피스톤,2017-12-08
진에어,272450,항공 여객 운송업,"여객, 화물 등 항공운송",2017-12-08
케이씨텍,281820,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","반도체, 디스플레이 제조 장비",2017-12-05
동아타이어,282690,고무제품 제조업,타이어 및 튜브,2017-11-29
삼양패키징,272550,플라스틱제품 제조업,PET 용기 및 아셉틱 OEM,2017-11-29
테이팩스,55490,플라스틱제품 제조업,"OCA, 2차전지용 테이프, 산업용 랩 등",2017-10-31
롯데제과,280360,기타 식품 제조업,"껌,캔디,초코,비스켓,빙과",2017-10-30
제일약품,271980,의약품 제조업,의약품,2017-07-17
카카오,35720,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",인터넷 서비스(인터넷 광고),2017-07-10
오리온,271560,기타 식품 제조업,스낵 등 과자류,2017-07-07
미원에스씨,268280,기초 화학물질 제조업,에너지경화수지,2017-05-22
경동도시가스,267290,연료용 가스 제조 및 배관공급업,도시가스,2017-05-12
넷마블,251270,소프트웨어 개발 및 공급업,온라인·모바일 게임 소프트웨어 개발 및 공급,2017-05-12
현대건설기계,267270,일반 목적용 기계 제조업,"굴삭기, 지게차, 휠로더 등",2017-05-10
현대일렉트릭,267260,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","변압기, 고압차단기, 회전기, 배전반 등",2017-05-10
현대중공업지주,267250,석유 정제품 제조업,"산업용 로봇, 클린용 로봇, 조선 기자재 등",2017-05-10
크라운제과,264900,기타 식품 제조업,"비스킷, 스낵, 당과",2017-04-11
덴티움,145720,의료용 기기 제조업,치과용 기기 제조업,2017-03-15
호전실업,111110,봉제의복 제조업,스포츠웨어 및 아웃도어 웨어 OEM,2017-02-02
핸즈코퍼레이션,143210,자동차 신품 부품 제조업,자동차 알루미늄 휠,2016-12-02
두산밥캣,241560,특수 목적용 기계 제조업,"Compact Equipment, Heavy Equipment, Portable Power",2016-11-18
삼성바이오로직스,207940,기초 의약물질 및 생물학적 제제 제조업,바이오의약품,2016-11-10
JW생명과학,234080,의약품 제조업,"기초수액, TPN, 특수수액, HEMO, 영양수액 등",2016-10-27
화승엔터프라이즈,241590,신발 및 신발 부분품 제조업,,2016-10-04
LS전선아시아,229640,기타 금융업,,2016-09-22
모두투어리츠,204210,부동산 임대 및 공급업,"호텔 부동산 취득, 관리, 개량 및 처분",2016-09-22
일동제약,249420,의약품 제조업,"아로나민, 후루마린, 큐란, 라비에트, 사미온 등",2016-08-31
샘표식품,248170,기타 식품 제조업,간장,2016-08-09
두올,16740,자동차 신품 부품 제조업,시트 커버 및 시트 원단,2016-07-29
동서,26960,음·식료품 및 담배 도매업,"식품 유통, 다류 및 연포장재 제조 등",2016-07-15
한국자산신탁,123890,신탁업 및 집합투자업,"부동산 신탁 서비스, REITs",2016-07-13
한국토지신탁,34830,신탁업 및 집합투자업,부동산신탁 등,2016-07-11
해성디에스,195870,전자부품 제조업,반도체 패키지용 Substrate,2016-06-24
용평리조트,70960,일반 및 생활 숙박시설 운영업,"리조트 운영, 콘도 분양",2016-05-27
해태제과식품,101530,기타 식품 제조업,"홈런볼, 오예스, 맛동산, 부라보콘 등",2016-05-11
삼일씨엔에스,4440,"시멘트, 석회, 플라스터 및 그 제품 제조업","PHC파일, 골재, 강교제작",2016-03-30
제이에스코퍼레이션,194370,"가죽, 가방 및 유사제품 제조업",핸드백 및 지갑,2016-02-04
코리아오토글라스,152330,유리 및 유리제품 제조업,자동차 안전 유리,2015-12-29
잇츠한불,226320,기타 화학제품 제조업,"스킨케어 베이직, 포인트 메이크업, 스킨케어 스페셜, 베이스 메이크업 등",2015-12-28
세진중공업,75580,선박 및 보트 건조업,"선박 Deck House, LPG Tank, Upper Deck Unit, 해양플랜트 Living Quarter",2015-11-30
금호에이치티,214330,자동차 신품 부품 제조업,자동차용 전구 및 LED모듈,2015-11-11
제주항공,89590,항공 여객 운송업,"여객운송서비스, 화물운송서비스",2015-11-06
현대코퍼레이션홀딩스,227840,음·식료품 및 담배 도매업,"브랜드사업, 육류유통",2015-10-23
LIG넥스원,79550,무기 및 총포탄 제조업,정밀유도무기 등,2015-10-02
HDC아이콘트롤스,39570,전기 및 통신 공사업,"기계설비공사, 스마트홈, 지능형 빌딩, SOC",2015-09-24
동일제강,2690,1차 철강 제조업,"PC강연선, 경강선, 도금선, 마봉강",2015-09-24
AJ네트웍스,95570,산업용 기계 및 장비 임대업,"렌탈(파렛트, OA장비, 건설장비)",2015-08-21
이노션,214320,광고업,광고대행 및 광고물의 제작 등,2015-07-17
토니모리,214420,기타 화학제품 제조업,"스킨케어 베이직, 포인트 메이크업, 스킨케어 스페셜, 베이스 메이크업 등",2015-07-10
미래에셋생명,85620,보험업,생명보험상품,2015-07-08
경보제약,214390,기초 의약물질 및 생물학적 제제 제조업,"아토르바스타틴, 세프티족심, 세프트리약손",2015-06-29
SK디앤디,210980,부동산 임대 및 공급업,"비주거용 부동산개발 및 임대(오피스, 지식산업센터, 호텔 등)",2015-06-23
엔에스쇼핑,138250,무점포 소매업,TV홈쇼핑,2015-03-27
세화아이엠씨,145210,특수 목적용 기계 제조업,"타이어 금형, 타이어 제조설비",2015-03-19
한솔제지,213500,"펄프, 종이 및 판지 제조업","인쇄용지, 산업용지, 특수지 제조 및 판매",2015-01-26
디와이파워,210540,특수 목적용 기계 제조업,유공압기기 등,2015-01-15
삼성물산,28260,기타 전문 도매업,"도소매, 건설, 남자용 정장 제조업 등",2014-12-18
씨에스윈드,112610,"구조용 금속제품, 탱크 및 증기발생기 제조업",풍력발전타워 제조,2014-11-27
삼성에스디에스,18260,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","IT서비스, 물류BPO",2014-11-14
만도,204320,자동차 신품 부품 제조업,"제동장치, 조향장치, 현가장치",2014-10-06
서연이화,200880,자동차 신품 부품 제조업,자동차 도어 트림 및 시트,2014-08-08
쿠쿠홀딩스,192400,기타 금융업,주방용 전기기기 제조업,2014-08-06
화인베스틸,133820,1차 철강 제조업,"조선용 형강(부등변 부등후 앵글, 부등호 앵글, 등변앵글 평철 등)",2014-07-22
BGF,27410,기타 금융업,지주회사,2014-05-19
코스맥스,192820,기타 화학제품 제조업,화장품,2014-04-07
종근당,185750,의약품 제조업,"딜라트렌,리피로우",2013-12-06
신송홀딩스,6880,산업용 농·축산물 및 동·식물 도매업,사업경영 및 관리자문,2013-11-21
아세아시멘트,183190,"시멘트, 석회, 플라스터 및 그 제품 제조업","시멘트, 레미콘, 몰탈",2013-11-06
현대로템,64350,철도장비 제조업,"철도차량, 특수중기, 산업기계",2013-10-30
한진칼,180640,항공 여객 운송업,"지주사업, 경영자문 및 컨설팅",2013-09-16
엔에이치엔,181710,소프트웨어 개발 및 공급업,한게임,2013-08-29
JB금융지주,175330,기타 금융업,금융지주 회사,2013-07-18
하이골드12호,172580,운송장비 임대업,,2013-07-12
DSR,155660,1차 비철금속 제조업,합섬섬유로프,2013-05-15
한국패러랠,168490,신탁업 및 집합투자업,,2013-04-19
동아에스티,170900,의약품 제조업,"스티렌, 자이데나",2013-04-08
지엠비코리아,13870,자동차 신품 부품 제조업,"VS, TIB, CVJoint 등",2012-11-20
LG헬로비전,37560,텔레비전 방송업,"케이블TV, 인터넷서비스 등",2012-11-09
동일고무벨트,163560,고무제품 제조업,"산업용고무제품, 종합고무부품",2012-10-19
한국콜마,161890,기타 화학제품 제조업,"화장품, 의약품",2012-10-19
한국타이어앤테크놀로지,161390,고무제품 제조업,타이어 제조,2012-10-04
애경유화,161000,기초 화학물질 제조업,오르토프탈산디옥틸,2012-09-17
SK렌터카,68400,운송장비 임대업,승용자동차 임대,2012-07-27
바다로19호,155900,운송장비 임대업,,2012-06-29
사조씨푸드,14710,수산물 가공 및 저장 처리업,횟감용 참치 및 기타 일반수산물,2012-06-29
하이골드3호,153360,운송장비 임대업,,2012-05-04
코오롱머티리얼,144620,화학섬유 제조업,"합성섬유 제조/직물 도매,무역",2012-04-05
한국ANKOR유전,152550,신탁업 및 집합투자업,,2012-03-08
휴비스,79980,화학섬유 제조업,"합성섬유(폴리에스테르원사,원면),재생섬유,폴리에스텔 원사,원면,고상칩 제조,도소매",2012-02-23
케이탑리츠,145270,부동산 임대 및 공급업,부동산 임대,2012-01-31
GS리테일,7070,종합 소매업,"체인화 편의점,슈퍼마켓,마트,전자상거래/부동산(빌딩) 임대",2011-12-23
인터지스,129260,도로 화물 운송업,"화물운송,알선,하역",2011-12-16
삼양사,145990,기타 식품 제조업,설탕,2011-12-05
하나투어,39130,여행사 및 기타 여행보조 서비스업,"일반여행알선,컴퓨터프로그램 개발,보급,통신판매",2011-11-01
에이블씨엔씨,78520,기타 화학제품 제조업,"화장품 제조,도소매/소프트웨어 자문,개발,공급/전자상거래",2011-09-07
삼원강재,23000,자동차 신품 부품 제조업,"열간압연제품(평강,봉강,특수이형강,환강,자동차용 겹판스프링) 제조,판매",2011-07-22
신세계인터내셔날,31430,"섬유, 의복, 신발 및 가죽제품 소매업","섬유, 의복, 신발 및 가죽제품 소매",2011-07-14
에이리츠,140910,부동산 임대 및 공급업,,2011-07-14
한국항공우주,47810,"항공기,우주선 및 부품 제조업","정부방산 및 완제기 수출(T-50계열, KUH계열, KT-1계열 등), 기체부품",2011-06-30
롯데하이마트,71840,가전제품 및 정보통신장비 소매업,"가전제품,잡화 도소매/부동산 임대",2011-06-29
한세엠케이,69640,"섬유, 의복, 신발 및 가죽제품 소매업","케주얼웨어(BUCKAROO, TBJ 등)",2011-06-21
코오롱플라스틱,138490,합성고무 및 플라스틱 물질 제조업,엔지니어링플라스틱,2011-06-15
이마트,139480,종합 소매업,대형마트,2011-06-10
DGB금융지주,139130,기타 금융업,지주회사,2011-06-07
케이티스카이라이프,53210,텔레비전 방송업,위성방송서비스,2011-06-03
세아특수강,19440,1차 철강 제조업,"냉간압조용선재,마봉강,스테인레스봉강 제조",2011-06-01
메리츠금융지주,138040,기타 금융업,투자사업,2011-05-13
한국종합기술,23350,"건축기술, 엔지니어링 및 관련 기술 서비스업","토목설계,건축설계,감리,측량/토목건축공사",2011-04-28
BNK금융지주,138930,기타 금융업,금융지주회사,2011-03-30
일진머티리얼즈,20150,전자부품 제조업,"인쇄회로기판(PCB)용 전해동박(ACF,UCF),에폭시용 동박,전해콘덴서용 알루미늄박 제조,판매",2011-03-04
현대위아,11210,자동차 신품 부품 제조업,"자동차부품, 공작기계 등",2011-02-21
선진,136490,동물용 사료 및 조제식품 제조업,조제동물사료,2011-02-16
미원화학,134380,기타 화학제품 제조업,"계면활성제, 황산및분황",2011-02-15
시디즈,134790,가구 제조업,의자,2011-01-25
HSD엔진,82740,일반 목적용 기계 제조업,"대형선박용엔진,내연발전엔진",2011-01-04
대성에너지,117580,연료용 가스 제조 및 배관공급업,천연가스,2010-12-24
현대에이치씨엔,126560,텔레비전 방송업,방송업,2010-12-23
KTis,58860,기타 정보 서비스업,"114전화번호안내, 고객센터",2010-12-17
한전산업,130660,"건축기술, 엔지니어링 및 관련 기술 서비스업","발전설비 운전·정비, 전기검침",2010-12-16
엘브이엠씨,900140,자동차 판매업,지주회사,2010-11-30
비케이탑스,30790,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","시스템통합소프트웨어 개발, 전자상거래",2010-11-02
휠라홀딩스,81660,생활용품 도매업,"스포츠의류,신발,가방,시계,골프장비,화장품,가죽제품(지갑,키홀더) 도매,수출입",2010-09-28
KTcs,58850,기타 정보 서비스업,전화번호검색 데이타제공/콜센터 운영,2010-09-16
현대홈쇼핑,57050,무점포 소매업,TV홈쇼핑 도소매/홈쇼핑프로그램 제작,2010-09-13
도화엔지니어링,2150,"건축기술, 엔지니어링 및 관련 기술 서비스업","토목설계,건축설계,종합감리전문업,종합기술용역,엔지니어링",2010-08-12
대성산업,128820,연료 소매업,"주요소운영,기계판매 등",2010-07-30
아이마켓코리아,122900,상품 종합 도매업,B2B 전자상거래,2010-07-30
한미약품,128940,의약품 제조업,의약품,2010-07-30
우진,105840,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",원전용계측기,2010-07-26
무학,33920,알코올음료 제조업,소주,2010-07-20
이연제약,102460,의약품 제조업,"항생제,순환기제",2010-06-10
한국화장품,123690,생활용품 도매업,화장품,2010-06-01
에스제이엠,123700,자동차 신품 부품 제조업,자동차및산업용Bellows,2010-05-31
한라홀딩스,60980,기타 금융업,지주회사 및 경영컨설팅 서비스업,2010-05-19
삼성생명,32830,보험업,"생명보험,부동산 임대",2010-05-12
신세계푸드,31440,음식점업,"단체급식, 식자재유통, 외식",2010-04-29
한화생명,88350,보험업,생명보험,2010-03-17
조선선재,120030,기타 금속 가공제품 제조업,용접재료,2010-02-19
코오롱인더,120110,화학섬유 제조업,"산업자재, 화학, 필름",2010-02-01
KC코트렐,119650,일반 목적용 기계 제조업,전기집진기 등,2010-01-29
지역난방공사,71320,"증기, 냉·온수 및 공기조절 공급업","집단에너지공급 및 전기,증기 생산,판매",2010-01-29
락앤락,115390,플라스틱제품 제조업,플라스틱 밀폐용기,2010-01-28
영흥,12160,1차 철강 제조업,와이어로프 등,2010-01-25
우리들휴브레인,118000,기계장비 및 관련 물품 도매업,의료기기 도매,2009-12-30
한전기술,52690,"건축기술, 엔지니어링 및 관련 기술 서비스업",원자력발전소 설계 등,2009-12-14
GKL,114090,유원지 및 기타 오락관련 서비스업,카지노,2009-11-19
SK,34730,기타 금융업,"지주회사, 시스템통합(SI), 정보통신사업 관련 컨설팅,조사용역,정보통신기술 연구개발/정보통신기기,소프트웨어 개발,도매",2009-11-11
황금에스티,32560,1차 비철금속 제조업,"스테인레스 냉연, 열연",2009-10-29
하이트진로,80,알코올음료 제조업,소주,2009-10-19
동양생명,82640,보험업,생명보험,2009-10-08
유니온머티리얼,47400,"내화, 비내화 요업제품 제조업","페라이트,세라믹 제조,도매",2009-09-29
형지엘리트,93240,봉제의복 제조업,"학생복,스포츠의류,작업복 제조,도매",2009-09-28
키움증권,39490,금융 지원 서비스업,"유가증권의 매매, 위탁, 인수, 주선",2009-08-03
영원무역,111770,상품 종합 도매업,스포츠의류,2009-07-30
아주캐피탈,33660,기타 금융업,"투자회사,할부금융,리스/자동차정비,자동차리스",2009-06-25
한미글로벌,53690,"건축기술, 엔지니어링 및 관련 기술 서비스업","건축 설계,감리/건축공사,토목공사,설비공사,전기공사,안전공사",2009-06-23
동아지질,28100,기반조성 및 시설물 축조관련 전문공사업,"보링그라우팅공사,토공사,철근콘크리트공사,상하수도공사,비계구조물해체공사,수중공사/지질조사,시공감리",2009-06-12
STX중공업,71970,일반 목적용 기계 제조업,"조선기자재, 기계부품, 엔진산업환경발전설비, 플랜트(EPC)",2009-05-15
LG하우시스,108670,플라스틱제품 제조업,"창호재, 자동차부품 등",2009-04-20
한세실업,105630,봉제의복 제조업,의류 완제품,2009-03-20
컨버즈,109070,"골판지, 종이 상자 및 종이용기 제조업","크라프트지,박엽지",2009-03-17
미원홀딩스,107590,기타 금융업,도료첨가제,2009-03-02
NAVER,35420,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",포털 서비스 및 온라인 광고,2008-11-28
부국철강,26940,1차 철강 제조업,철강,2008-10-14
KB금융,105560,기타 금융업,-,2008-10-10
한국철강,104700,1차 철강 제조업,철근. 단조강. 파이프,2008-09-29
일진전기,103590,절연선 및 케이블 제조업,,2008-08-01
풍산,103140,1차 비철금속 제조업,,2008-07-30
LG이노텍,11070,전자부품 제조업,기타 전자부품 제조업,2008-07-24
명문제약,17180,의약품 제조업,"의약품(ROBAXIN 주사,KIMITE패취) 제조,판매",2008-07-10
비상교육,100220,"서적, 잡지 및 기타 인쇄물 출판업","참고서 출판/소프트웨어 개발,공급",2008-06-30
동성코퍼레이션,102260,회사 본부 및 경영 컨설팅 서비스업,,2008-06-23
쌍방울,102280,봉제의복 제조업,,2008-06-10
LG유플러스,32640,전기 통신업,"개인휴대통신서비스,음성서비스,데이터서비스,부가통신/단말기 도소매/프로그램 개발,자료제공",2008-04-21
비티원,101140,생활용품 도매업,"신발,의류,스포츠용품 도매,제조",2008-04-02
아시아나항공,20560,항공 여객 운송업,"항공운송(여객운송,화물운송)/항공기 제조,정비수리",2008-03-28
SBS미디어홀딩스,101060,텔레비전 방송업,지주회사,2008-03-24
S&TC,100840,일반 목적용 기계 제조업,"공냉식 열교환장치,폐열회수장치 제조",2008-02-22
진양홀딩스,100250,플라스틱제품 제조업,"투자,경영컨설팅",2008-02-15
엔케이,85310,"구조용 금속제품, 탱크 및 증기발생기 제조업","고압가스용기,선박용,육상용 소화설비장치,천연가스이동식충전소 제조,도매",2008-01-24
한전KPS,51600,전기 및 통신 공사업,"일반전기공사,발전설비정비공사,점검,수리,엔지니어링",2007-12-14
이아이디,93230,기타 전문 도매업,"무선통신기기부품,전시용 핸드폰모형기(ADM) 제조",2007-11-01
기신정기,92440,특수 목적용 기계 제조업,"몰드베이스,금형부품,정밀기계기구 제조,도매,무역",2007-10-30
KSS해운,44450,해상 운송업,"특수화물해상운송(케이컬,액화가스,냉동.냉장화물),선박대여",2007-10-26
효성 ITX,94280,기타 사업지원 서비스업,"컨택센터서비스, Cloud솔루션, CDN, 프로젝터판매",2007-10-25
